Wavelength (nm),Scan 1 Reflectance,Scan 2 Reflectance,Scan 3 Reflectance,Scan 4 Reflectance,Scan 5 Reflectance,Average Reflectance
1479.1641,0.37849374,0.37493065,0.37683211,0.37903532,0.37802720,0.37746380
1482.3901,0.37739210,0.37464494,0.37632492,0.37912241,0.37763930,0.37702473
1485.6119,0.37737526,0.37396876,0.37546078,0.37735295,0.37688586,0.37620872
1488.8293,0.37717088,0.37418501,0.37571313,0.37836939,0.37732816,0.37655331
1493.1127,0.37791495,0.37560767,0.37647973,0.37935929,0.37772417,0.37741716
1496.3201,0.37850269,0.37519401,0.37706640,0.37910956,0.37767631,0.37750979
1499.5233,0.37913694,0.37665293,0.37767330,0.38076828,0.37947552,0.37874139
1502.7222,0.38000573,0.37704112,0.37870418,0.38097993,0.38032684,0.37941156
1505.9167,0.38087668,0.37821693,0.37964067,0.38139770,0.38117239,0.38026088
1509.107,0.38213798,0.37938090,0.38076340,0.38360885,0.38162033,0.38150229
1512.2931,0.38320988,0.38007617,0.38141825,0.38455997,0.38314296,0.38248145
1515.4747,0.38464424,0.38091565,0.38171292,0.38485202,0.38405315,0.38323560
1518.6521,0.38509205,0.38216873,0.38415286,0.38633234,0.38522878,0.38459495
1521.8253,0.38589718,0.38358227,0.38438456,0.38712035,0.38649562,0.38549600
1524.9941,0.38655414,0.38478545,0.38603219,0.38806356,0.38678191,0.38644345
1529.2125,0.38774876,0.38439902,0.38614479,0.38872633,0.38808307,0.38702040
1532.3713,0.38814143,0.38463471,0.38634623,0.38804745,0.38783908,0.38700178
1535.5259,0.38891662,0.38540747,0.38760196,0.38880228,0.38898068,0.38794180
1538.6761,0.38875532,0.38540511,0.38842014,0.38992060,0.38924142,0.38834852
1541.822,0.38915810,0.38647370,0.38775455,0.38984298,0.38911717,0.38846930
1544.9637,0.38981442,0.38627189,0.38843634,0.39011381,0.38947528,0.38882235
1548.1011,0.39054599,0.38679000,0.38978344,0.39133239,0.39092363,0.38987509
1551.2341,0.39125734,0.38835634,0.38947829,0.39217584,0.39063385,0.39038033
1554.3629,0.39192262,0.38845351,0.38973208,0.39214300,0.39080742,0.39061173
1557.4873,0.39171655,0.38916004,0.39073267,0.39279143,0.39210969,0.39130208
1560.6075,0.39390863,0.38959574,0.39169096,0.39437466,0.39310295,0.39253459
1564.7611,0.39428547,0.39086630,0.39285945,0.39514635,0.39377907,0.39338733
1567.8712,0.39467871,0.39199887,0.39315889,0.39590698,0.39555132,0.39425896
1570.9772,0.39519308,0.39225644,0.39313868,0.39591874,0.39431504,0.39416440
1574.0787,0.39621714,0.39387896,0.39449509,0.39789786,0.39590364,0.39567854
1577.176,0.39657077,0.39343680,0.39511244,0.39684855,0.39691577,0.39577687
1580.269,0.39743483,0.39383153,0.39586819,0.39895770,0.39727358,0.39667316
1583.3577,0.39745954,0.39398350,0.39585140,0.39878670,0.39793654,0.39680354
1586.4421,0.39896128,0.39606309,0.39714086,0.40019578,0.39962917,0.39839803
1589.5222,0.40031164,0.39668383,0.39934082,0.40129483,0.40157010,0.39984024
1592.5981,0.40056486,0.39782304,0.39871282,0.40144965,0.40010748,0.39973157
1595.6697,0.40259372,0.39938967,0.40263437,0.40438506,0.40305872,0.40241231
1599.7583,0.40409037,0.40238585,0.40392121,0.40564398,0.40623730,0.40445574
1602.8198,0.40797456,0.40521928,0.40644118,0.40901541,0.40735161,0.40720041
1605.8771,0.40883166,0.40693140,0.40797833,0.41088185,0.40906611,0.40873787
1608.93,0.41097378,0.40918142,0.41014201,0.41265132,0.41134346,0.41085840
1611.9786,0.41456989,0.41213085,0.41266297,0.41611443,0.41444910,0.41398545
1615.0231,0.41636810,0.41292972,0.41555786,0.41608525,0.41628856,0.41544590
1618.0631,0.41820498,0.41407998,0.41662565,0.41908074,0.41806609,0.41721149
1621.0989,0.42086247,0.41836372,0.42036395,0.42064573,0.42080053,0.42020728
1624.1304,0.42223750,0.41995545,0.41929753,0.42234237,0.42205313,0.42117719
1627.1575,0.42319577,0.42090322,0.42278045,0.42444837,0.42315982,0.42289753
1630.1804,0.42360155,0.42346020,0.42362510,0.42560006,0.42590960,0.42443930
1634.2042,0.42748020,0.42422352,0.42570287,0.42816027,0.42773962,0.42666130
1637.2172,0.42905990,0.42543817,0.42591526,0.42733218,0.42792859,0.42713482
1640.2257,0.42855168,0.42831608,0.42817772,0.43057099,0.42932574,0.42898844
1643.23,0.43161606,0.42739235,0.42945769,0.43234456,0.43253829,0.43066979
1646.23,0.43212200,0.42979736,0.43084482,0.43185609,0.43275048,0.43147415
1649.2257,0.43347009,0.43086958,0.43348270,0.43348692,0.43227504,0.43271687
1652.217,0.43412403,0.42964617,0.42986148,0.43203231,0.43306499,0.43174580
1655.2042,0.43112725,0.42916674,0.43196348,0.43324569,0.43141064,0.43138276
1658.187,0.43145748,0.42802605,0.42937783,0.43314105,0.43261619,0.43092372
1661.1655,0.43010560,0.42910298,0.42769290,0.43043805,0.43208942,0.42988579
1664.1398,0.43120035,0.42940108,0.42732274,0.43386062,0.43171695,0.43070035
1668.0988,0.42438677,0.42378524,0.42419789,0.42998232,0.43067477,0.42660540
1671.063,0.42485538,0.42215298,0.42629555,0.43051093,0.43215341,0.42719365
1674.023,0.42341249,0.42264598,0.42208764,0.42899593,0.43057634,0.42554367
1676.9786,0.42915848,0.42326390,0.42769889,0.42996686,0.43144893,0.42830741
1679.9299,0.42848060,0.42428137,0.42605644,0.43118296,0.43028215,0.42805670
1682.8771,0.42058770,0.42681461,0.42915555,0.43193348,0.42820356,0.42733898
1685.8198,0.43613416,0.42224909,0.42983275,0.42974117,0.43402758,0.43039695
1688.7583,0.42364950,0.41750319,0.42998724,0.42045937,0.42569119,0.42345810
1691.6925,0.42860678,0.41885505,0.42133011,0.43375491,0.43135410,0.42678019
1694.6223,0.42954337,0.41633453,0.42940105,0.44090185,0.43213392,0.42966294
1697.548,0.43272503,0.41606432,0.43068297,0.43126641,0.44633886,0.43141552
1701.442,0.42849344,0.41581843,0.43200343,0.42233143,0.45099647,0.42992864
